x,y
178,109
1457,1361
177,113
2211,790
671,410
1191,1073
481,265
537,232
1530,1407
280,183
4258,4100
208,127
193,115
249,134
887,337
1264,1209
163,123
1706,1103
130,86
121,88
200,142
15,15
118,104
176,118
1341,1270
1521,1462
2806,2531
212,124
973,559
1141,1068
385,306
192,171
368,237
268,185
298,260
423,284
252,168
479,424
5352,5202
306,284
2055,1912
517,366
2087,2079
134,109
355,316
206,158
3572,3464
97,83
338,283
84,76
108,65
726,467
355,181
237,182
260,213
459,411
343,204
165,131
230,173
421,304
417,335
630,513
802,654
541,335
232,182
356,298
197,156
1576,995
211,168
360,288
588,460
2101,1735
1006,847
555,418
517,458
1150,808
17,17
438,374
217,167
658,640
2295,2235
657,361
454,306
321,243
199,108
384,280
330,228
550,319
212,189
374,283
845,564
287,220
607,352
310,216
316,213
391,257
324,287
318,218
2143,1966
785,539
37,37
2624,1326
288,245
224,219
357,315
3216,2628
452,330
1132,1032
320,237
2664,2570
338,324
37,37
311,238
369,314
370,356
323,319
1810,1490
303,298
399,392
263,257
273,271
2733,2654
257,254
229,223
251,246
236,228
474,345
226,220
195,192
206,205
207,201
868,863
199,194
214,206
214,192
424,388
204,182
210,189
1480,1426
428,374
1032,975
2543,2438
6164,5934
714,440
1462,1450
528,483
421,282
303,243
1967,1877
111,90
2105,1921
477,370
806,602
813,727
746,545
322,295
469,408
390,309
622,509
346,288
757,452
598,447
769,614
1843,1724
266,251
435,360
519,450
892,498
3370,2420
455,390
572,430
360,334
4840,4754
545,424
584,446
2675,2584
1805,984
644,473
626,482
537,430
1476,1397
631,549
588,435
2080,1956
393,348
374,335
544,405
330,280
371,298
518,422
436,365
1359,695
377,324
512,437
1666,1333
703,530
399,359
365,331
356,333
1954,1016
